"","案件","縣市","地區","同意票數","不同意票數","有效票數","無效票數","投票數","投票權人數","投票率...","有效同意票數對投票權人數百分比...","有效不同意票數對投票權人數百分比...","有效同意與不同意票數對投票權人數百分比...差值","同意票數對票數比率","縣市首長得票率","縣市首長得票數","公投同意率對縣市首長得票率差距"
"1","第9案","全國","","7,791,856","2,231,425","10,023,281","756,041","10,779,322","19,757,067","54.56%","39.44%","11.29%",28.15,77.74,NA,NA,NA
"2","第9案","連江縣","","4,751","736","5,487","248","5,735","11,205","51.18%","42.4%","6.57%",35.83,86.59,NA,NA,NA
"3","第9案","連江縣","南竿鄉","2,746","396","3,142","132","3,274","6,461","50.67%","42.5%","6.13%",36.37,87.4,"62.12",2594,25.28
"4","第9案","連江縣","北竿鄉","888","162","1,050","53","1,103","2,125","51.91%","41.79%","7.62%",34.17,84.57,"77.38",1139,7.19
"5","第9案","連江縣","莒光鄉","620","112","732","45","777","1,481","52.46%","41.86%","7.56%",34.3,84.7,"67.16",732,17.54
"6","第9案","連江縣","東引鄉","497","66","563","18","581","1,138","51.05%","43.67%","5.80%",37.87,88.28,"59.10",396,29.18
"7","第9案","金門縣","","33,982","6,656","40,638","3,092","43,730","122,695","35.64%","27.7%","5.42%",22.28,83.62,NA,NA,NA
"8","第9案","金門縣","金城鎮","10,357","1,954","12,311","872","13,183","37,815","34.86%","27.39%","5.17%",22.22,84.13,"54.28",8137,29.85
"9","第9案","金門縣","金沙鎮","5,110","907","6,017","545","6,562","18,560","35.36%","27.53%","4.89%",22.64,84.93,"38.56",2974,46.37
"10","第9案","金門縣","金湖鎮","7,148","1,498","8,646","730","9,376","25,915","36.18%","27.58%","5.78%",21.8,82.67,"39.07",4204,43.6
"11","第9案","金門縣","金寧鄉","7,833","1,706","9,539","651","10,190","28,162","36.18%","27.81%","6.06%",21.75,82.12,"54.92",5989,27.2
"12","第9案","金門縣","烈嶼鄉","3,399","572","3,971","283","4,254","11,676","36.43%","29.11%","4.90%",24.21,85.6,"46.28",2154,39.32
"13","第9案","金門縣","烏坵鄉","135","19","154","11","165","567","29.1%","23.81%","3.35%",20.46,87.66,"29.67",62,57.99
"14","第9案","宜蘭縣","","149,047","45,210","194,257","17,663","211,920","386,089","54.89%","38.6%","11.71%",26.89,76.73,NA,NA,NA
"15","第9案","宜蘭縣","宜蘭市","32,123","9,145","41,268","3,184","44,452","79,167","56.15%","40.58%","11.55%",29.03,77.84,"48.45",23891,29.39
"16","第9案","宜蘭縣","羅東鎮","23,633","7,130","30,763","2,324","33,087","57,686","57.36%","40.97%","12.36%",28.61,76.82,"52.71",18457,24.11
"17","第9案","宜蘭縣","蘇澳鎮","13,047","4,165","17,212","1,971","19,183","34,512","55.58%","37.8%","12.07%",25.73,75.8,"49.44",11341,26.36
"18","第9案","宜蘭縣","頭城鎮","9,379","3,000","12,379","1,381","13,760","25,135","54.74%","37.31%","11.94%",25.37,75.77,"54.90",9405,20.87
"19","第9案","宜蘭縣","礁溪鄉","11,637","3,652","15,289","1,324","16,613","31,084","53.45%","37.44%","11.75%",25.69,76.11,"45.91",9698,30.2
"20","第9案","宜蘭縣","壯圍鄉","8,267","2,706","10,973","1,259","12,232","21,447","57.03%","38.55%","12.62%",25.93,75.34,"45.66",6978,29.68
"21","第9案","宜蘭縣","員山鄉","10,227","3,218","13,445","1,551","14,996","28,131","53.31%","36.35%","11.44%",24.91,76.07,"42.78",7844,33.29
"22","第9案","宜蘭縣","冬山鄉","17,337","5,095","22,432","1,730","24,162","45,405","53.21%","38.18%","11.22%",26.96,77.29,"45.83",13141,31.46
"23","第9案","宜蘭縣","五結鄉","13,187","3,935","17,122","1,445","18,567","34,892","53.21%","37.79%","11.28%",26.51,77.02,"47.07",10354,29.95
"24","第9案","宜蘭縣","三星鄉","6,720","2,202","8,922","991","9,913","19,051","52.03%","35.27%","11.56%",23.71,75.32,"47.48",6053,27.84
"25","第9案","宜蘭縣","大同鄉","1,552","486","2,038","285","2,323","4,935","47.07%","31.45%","9.85%",21.6,76.15,"86.02",3360,-9.86999999999999
"26","第9案","宜蘭縣","南澳鄉","1,938","476","2,414","218","2,632","4,644","56.68%","41.73%","10.25%",31.48,80.28,"88.73",3245,-8.45
"27","第9案","新竹縣","","187,845","47,564","235,409","14,059","249,468","445,051","56.05%","42.21%","10.69%",31.52,79.8,NA,NA,NA
"28","第9案","新竹縣","竹北市","60,847","14,949","75,796","3,703","79,499","137,129","57.97%","44.37%","10.90%",33.47,80.28,"33.50",27664,46.78
"29","第9案","新竹縣","竹東鎮","31,963","7,885","39,848","2,370","42,218","78,794","53.58%","40.57%","10.01%",30.56,80.21,"42.05",19629,38.16
"30","第9案","新竹縣","新埔鎮","12,046","3,055","15,101","1,093","16,194","28,894","56.05%","41.69%","10.57%",31.12,79.77,"35.99",6982,43.78
"31","第9案","新竹縣","關西鎮","10,235","2,748","12,983","974","13,957","24,712","56.48%","41.42%","11.12%",30.3,78.83,"35.70",6017,43.13
"32","第9案","新竹縣","湖口鄉","26,766","6,632","33,398","1,932","35,330","63,511","55.63%","42.14%","10.44%",31.7,80.14,"39.87",15866,40.27
"33","第9案","新竹縣","新豐鄉","19,113","4,910","24,023","1,488","25,511","45,790","55.71%","41.74%","10.72%",31.02,79.56,"33.97",9826,45.59
"34","第9案","新竹縣","芎林鄉","7,422","2,022","9,444","673","10,117","17,293","58.5%","42.92%","11.69%",31.23,78.59,"40.07",4876,38.52
"35","第9案","新竹縣","橫山鄉","4,871","1,288","6,159","516","6,675","11,346","58.83%","42.93%","11.35%",31.58,79.09,"44.23",3624,34.86
"36","第9案","新竹縣","北埔鄉","3,408","853","4,261","284","4,545","8,180","55.56%","41.66%","10.43%",31.23,79.98,"46.27",2769,33.71
"37","第9案","新竹縣","寶山鄉","5,620","1,533","7,153","431","7,584","12,973","58.46%","43.32%","11.82%",31.5,78.57,"45.93",4172,32.64
"38","第9案","新竹縣","峨眉鄉","2,175","595","2,770","279","3,049","5,068","60.16%","42.92%","11.74%",31.18,78.52,"53.52",2218,25
"39","第9案","新竹縣","尖石鄉","2,212","713","2,925","213","3,138","7,364","42.61%","30.04%","9.68%",20.36,75.62,"51.39",2836,24.23
