"","案件","縣市","地區","同意票數","不同意票數","有效票數","無效票數","投票數","投票權人數","投票率...","有效同意票數對投票權人數百分比...","有效不同意票數對投票權人數百分比...","有效同意與不同意票數對投票權人數百分比...差值","同意票數對票數比率","縣市首長得票率","縣市首長得票數","公投同意率對縣市首長得票率差距"
"1","第15案","全國","","3,507,665","6,805,171","10,312,836","619,001","10,931,837","19,757,067","55.33%","17.75%","34.44%",-16.69,34.01,NA,NA,NA
"2","第15案","連江縣","","1,480","4,110","5,590","171","5,761","11,205","51.41%","13.21%","36.68%",-23.47,26.48,NA,NA,NA
"3","第15案","連江縣","南竿鄉","849","2,342","3,191","98","3,289","6,461","50.91%","13.14%","36.25%",-23.11,26.61,"62.12",2594,-35.51
"4","第15案","連江縣","北竿鄉","266","811","1,077","33","1,110","2,125","52.24%","12.52%","38.16%",-25.64,24.7,"77.38",1139,-52.68
"5","第15案","連江縣","莒光鄉","200","560","760","25","785","1,481","53%","13.5%","37.81%",-24.31,26.32,"67.16",732,-40.84
"6","第15案","連江縣","東引鄉","165","397","562","15","577","1,138","50.7%","14.5%","34.89%",-20.39,29.36,"59.10",396,-29.74
"7","第15案","金門縣","","10,826","30,970","41,796","2,118","43,914","122,695","35.79%","8.82%","25.24%",-16.42,25.9,NA,NA,NA
"8","第15案","金門縣","金城鎮","3,241","9,347","12,588","645","13,233","37,815","34.99%","8.57%","24.72%",-16.15,25.75,"54.28",8137,-28.53
"9","第15案","金門縣","金沙鎮","1,258","4,967","6,225","347","6,572","18,560","35.41%","6.78%","26.76%",-19.98,20.21,"38.56",2974,-18.35
"10","第15案","金門縣","金湖鎮","2,250","6,756","9,006","490","9,496","25,915","36.64%","8.68%","26.07%",-17.39,24.98,"39.07",4204,-14.09
"11","第15案","金門縣","金寧鄉","3,170","6,573","9,743","448","10,191","28,162","36.19%","11.26%","23.34%",-12.08,32.54,"54.92",5989,-22.38
"12","第15案","金門縣","烈嶼鄉","869","3,202","4,071","186","4,257","11,676","36.46%","7.44%","27.42%",-19.98,21.35,"46.28",2154,-24.93
"13","第15案","金門縣","烏坵鄉","38","125","163","2","165","567","29.1%","6.7%","22.05%",-15.35,23.31,"29.67",62,-6.36
"14","第15案","宜蘭縣","","69,188","130,483","199,671","14,890","214,561","386,089","55.57%","17.92%","33.80%",-15.88,34.65,NA,NA,NA
"15","第15案","宜蘭縣","宜蘭市","14,997","27,404","42,401","2,549","44,950","79,167","56.78%","18.94%","34.62%",-15.68,35.37,"48.45",23891,-13.08
"16","第15案","宜蘭縣","羅東鎮","11,312","19,797","31,109","2,002","33,111","57,686","57.4%","19.61%","34.32%",-14.71,36.36,"52.71",18457,-16.35
"17","第15案","宜蘭縣","蘇澳鎮","6,130","11,634","17,764","1,642","19,406","34,512","56.23%","17.76%","33.71%",-15.95,34.51,"49.44",11341,-14.93
"18","第15案","宜蘭縣","頭城鎮","4,332","8,342","12,674","1,159","13,833","25,135","55.03%","17.23%","33.19%",-15.96,34.18,"54.90",9405,-20.72
"19","第15案","宜蘭縣","礁溪鄉","5,360","10,197","15,557","1,238","16,795","31,084","54.03%","17.24%","32.80%",-15.56,34.45,"45.91",9698,-11.46
"20","第15案","宜蘭縣","壯圍鄉","3,935","7,302","11,237","1,133","12,370","21,447","57.68%","18.35%","34.05%",-15.7,35.02,"45.66",6978,-10.64
"21","第15案","宜蘭縣","員山鄉","4,651","9,182","13,833","1,333","15,166","28,131","53.91%","16.53%","32.64%",-16.11,33.62,"42.78",7844,-9.16
"22","第15案","宜蘭縣","冬山鄉","8,099","14,995","23,094","1,420","24,514","45,405","53.99%","17.84%","33.02%",-15.18,35.07,"45.83",13141,-10.76
"23","第15案","宜蘭縣","五結鄉","6,188","11,329","17,517","1,217","18,734","34,892","53.69%","17.73%","32.47%",-14.74,35.33,"47.07",10354,-11.74
"24","第15案","宜蘭縣","三星鄉","3,118","6,076","9,194","797","9,991","19,051","52.44%","16.37%","31.89%",-15.52,33.91,"47.48",6053,-13.57
"25","第15案","宜蘭縣","大同鄉","528","2,137","2,665","217","2,882","4,935","58.4%","10.7%","43.30%",-32.6,19.81,"86.02",3360,-66.21
"26","第15案","宜蘭縣","南澳鄉","538","2,088","2,626","183","2,809","4,644","60.49%","11.58%","44.96%",-33.38,20.49,"88.73",3245,-68.24
"27","第15案","新竹縣","","77,180","163,313","240,493","11,783","252,276","445,051","56.68%","17.34%","36.70%",-19.36,32.09,NA,NA,NA
"28","第15案","新竹縣","竹北市","27,936","49,115","77,051","2,874","79,925","137,129","58.28%","20.37%","35.82%",-15.45,36.26,"33.50",27664,2.76
"29","第15案","新竹縣","竹東鎮","12,563","28,093","40,656","1,955","42,611","78,794","54.08%","15.94%","35.65%",-19.71,30.9,"42.05",19629,-11.15
"30","第15案","新竹縣","新埔鎮","4,611","10,817","15,428","889","16,317","28,894","56.47%","15.96%","37.44%",-21.48,29.89,"35.99",6982,-6.1
"31","第15案","新竹縣","關西鎮","3,759","9,450","13,209","834","14,043","24,712","56.83%","15.21%","38.24%",-23.03,28.46,"35.70",6017,-7.24
"32","第15案","新竹縣","湖口鄉","10,422","23,740","34,162","1,657","35,819","63,511","56.4%","16.41%","37.38%",-20.97,30.51,"39.87",15866,-9.36
"33","第15案","新竹縣","新豐鄉","7,296","17,099","24,395","1,239","25,634","45,790","55.98%","15.93%","37.34%",-21.41,29.91,"33.97",9826,-4.06
"34","第15案","新竹縣","芎林鄉","2,855","6,702","9,557","645","10,202","17,293","58.99%","16.51%","38.76%",-22.25,29.87,"40.07",4876,-10.2
"35","第15案","新竹縣","橫山鄉","1,742","4,507","6,249","452","6,701","11,346","59.06%","15.35%","39.72%",-24.37,27.88,"44.23",3624,-16.35
"36","第15案","新竹縣","北埔鄉","1,549","2,847","4,396","238","4,634","8,180","56.65%","18.94%","34.80%",-15.86,35.24,"46.27",2769,-11.03
"37","第15案","新竹縣","寶山鄉","2,608","4,591","7,199","410","7,609","12,973","58.65%","20.1%","35.39%",-15.29,36.23,"45.93",4172,-9.7
"38","第15案","新竹縣","峨眉鄉","742","2,039","2,781","279","3,060","5,068","60.38%","14.64%","40.23%",-25.59,26.68,"53.52",2218,-26.84
"39","第15案","新竹縣","尖石鄉","710","2,826","3,536","217","3,753","7,364","50.96%","9.64%","38.38%",-28.74,20.08,"51.39",2836,-31.31
"40","第15案","新竹縣","五峰鄉","387","1,487","1,874","94","1,968","3,997","49.24%","9.68%","37.20%",-27.52,20.65,"45.33",1398,-24.68
"41","第15案","苗栗縣","","74,809","172,173","246,982","15,638","262,620","461,580","56.9%","16.21%","37.30%",-21.09,30.29,NA,NA,NA
"42","第15案","苗栗縣","苗栗市","12,854","28,018","40,872","1,971","42,843","74,249","57.7%","17.31%","37.74%",-20.43,31.45,"61.27",28376,-29.82
"43","第15案","苗栗縣","苑裡鎮","6,245","14,548","20,793","1,583","22,376","38,890","57.54%","16.06%","37.41%",-21.35,30.03,"54.92",14322,-24.89
"44","第15案","苗栗縣","通霄鎮","4,556","10,178","14,734","1,346","16,080","29,709","54.13%","15.34%","34.26%",-18.92,30.92,"43.22",8970,-12.3
"45","第15案","苗栗縣","竹南鎮","11,697","24,847","36,544","1,967","38,511","68,528","56.2%","17.07%","36.26%",-19.19,32.01,"54.16",22785,-22.15
"46","第15案","苗栗縣","頭份市","13,417","31,783","45,200","2,218","47,418","83,617","56.71%","16.05%","38.01%",-21.96,29.68,"61.89",32143,-32.21
"47","第15案","苗栗縣","後龍鎮","5,002","10,779","15,781","1,327","17,108","30,948","55.28%","16.16%","34.83%",-18.67,31.7,"44.67",9556,-12.97
"48","第15案","苗栗縣","卓蘭鎮","2,341","5,742","8,083","604","8,687","14,772","58.81%","15.85%","38.87%",-23.02,28.96,"61.94",6717,-32.98
"49","第15案","苗栗縣","大湖鄉","1,898","4,329","6,227","534","6,761","12,653","53.43%","15%","34.21%",-19.21,30.48,"61.84",5382,-31.36
"50","第15案","苗栗縣","公館鄉","4,595","10,963","15,558","1,176","16,734","28,318","59.09%","16.23%","38.71%",-22.48,29.53,"61.40",11545,-31.87
"51","第15案","苗栗縣","銅鑼鄉","2,346","5,800","8,146","502","8,648","15,424","56.07%","15.21%","37.60%",-22.39,28.8,"59.22",6331,-30.42
"52","第15案","苗栗縣","南庄鄉","1,189","2,880","4,069","270","4,339","8,784","49.4%","13.54%","32.79%",-19.25,29.22,"66.42",4014,-37.2
"53","第15案","苗栗縣","頭屋鄉","1,691","4,087","5,778","346","6,124","9,390","65.22%","18.01%","43.53%",-25.52,29.27,"65.46",4863,-36.19
