"","案件","縣市","地區","同意票數","不同意票數","有效票數","無效票數","投票數","投票權人數","投票率...","有效同意票數對投票權人數百分比...","有效不同意票數對投票權人數百分比...","有效同意與不同意票數對投票權人數百分比...差值","同意票數對票數比率","縣市首長得票率","縣市首長得票數","公投同意率對縣市首長得票率差距"
"1","第14案","全國","","3,382,286","6,949,697","10,331,983","608,484","10,940,467","19,757,067","55.37%","17.12%","35.18%",-18.06,32.74,NA,NA,NA
"2","第14案","連江縣","","1,493","4,083","5,576","183","5,759","11,205","51.4%","13.32%","36.44%",-23.12,26.78,NA,NA,NA
"3","第14案","連江縣","南竿鄉","790","2,397","3,187","101","3,288","6,461","50.89%","12.23%","37.10%",-24.87,24.79,"62.12",2594,-37.33
"4","第14案","連江縣","北竿鄉","247","829","1,076","34","1,110","2,125","52.24%","11.62%","39.01%",-27.39,22.96,"77.38",1139,-54.42
"5","第14案","連江縣","莒光鄉","185","572","757","27","784","1,481","52.94%","12.49%","38.62%",-26.13,24.44,"67.16",732,-42.72
"6","第14案","連江縣","東引鄉","271","285","556","21","577","1,138","50.7%","23.81%","25.04%",-1.23,48.74,"59.10",396,-10.36
"7","第14案","金門縣","","10,414","31,439","41,853","2,076","43,929","122,695","35.8%","8.49%","25.62%",-17.13,24.88,NA,NA,NA
"8","第14案","金門縣","金城鎮","3,216","9,370","12,586","653","13,239","37,815","35.01%","8.5%","24.78%",-16.28,25.55,"54.28",8137,-28.73
"9","第14案","金門縣","金沙鎮","1,191","5,049","6,240","336","6,576","18,560","35.43%","6.42%","27.20%",-20.78,19.09,"38.56",2974,-19.47
"10","第14案","金門縣","金湖鎮","2,121","6,928","9,049","452","9,501","25,915","36.66%","8.18%","26.73%",-18.55,23.44,"39.07",4204,-15.63
"11","第14案","金門縣","金寧鄉","3,026","6,725","9,751","438","10,189","28,162","36.18%","10.74%","23.88%",-13.14,31.03,"54.92",5989,-23.89
"12","第14案","金門縣","烈嶼鄉","823","3,243","4,066","193","4,259","11,676","36.48%","7.05%","27.77%",-20.72,20.24,"46.28",2154,-26.04
"13","第14案","金門縣","烏坵鄉","37","124","161","4","165","567","29.1%","6.53%","21.87%",-15.34,22.98,"29.67",62,-6.69
"14","第14案","宜蘭縣","","66,039","133,819","199,858","14,588","214,446","386,089","55.54%","17.1%","34.66%",-17.56,33.04,NA,NA,NA
"15","第14案","宜蘭縣","宜蘭市","14,241","28,110","42,351","2,473","44,824","79,167","56.62%","17.99%","35.51%",-17.52,33.63,"48.45",23891,-14.82
"16","第14案","宜蘭縣","羅東鎮","10,777","20,418","31,195","2,004","33,199","57,686","57.55%","18.68%","35.40%",-16.72,34.55,"52.71",18457,-18.16
"17","第14案","宜蘭縣","蘇澳鎮","5,786","11,967","17,753","1,621","19,374","34,512","56.14%","16.77%","34.67%",-17.9,32.59,"49.44",11341,-16.85
"18","第14案","宜蘭縣","頭城鎮","4,144","8,579","12,723","1,078","13,801","25,135","54.91%","16.49%","34.13%",-17.64,32.57,"54.90",9405,-22.33
"19","第14案","宜蘭縣","礁溪鄉","5,114","10,560","15,674","1,128","16,802","31,084","54.05%","16.45%","33.97%",-17.52,32.63,"45.91",9698,-13.28
"20","第14案","宜蘭縣","壯圍鄉","3,966","7,329","11,295","1,116","12,411","21,447","57.87%","18.49%","34.17%",-15.68,35.11,"45.66",6978,-10.55
"21","第14案","宜蘭縣","員山鄉","4,660","9,221","13,881","1,256","15,137","28,131","53.81%","16.57%","32.78%",-16.21,33.57,"42.78",7844,-9.21
"22","第14案","宜蘭縣","冬山鄉","7,599","15,447","23,046","1,445","24,491","45,405","53.94%","16.74%","34.02%",-17.28,32.97,"45.83",13141,-12.86
"23","第14案","宜蘭縣","五結鄉","5,805","11,661","17,466","1,252","18,718","34,892","53.65%","16.64%","33.42%",-16.78,33.24,"47.07",10354,-13.83
"24","第14案","宜蘭縣","三星鄉","2,905","6,235","9,140","848","9,988","19,051","52.43%","15.25%","32.73%",-17.48,31.78,"47.48",6053,-15.7
