æ¡ˆä»¶,ç¸??,?•é?ç¥¨æ?,?°å?,?Œæ?ç¥¨æ•¸,ä¸å??ç¥¨???‰æ?ç¥¨æ•¸,?¡æ?ç¥¨æ•¸,?•ç¥¨??å·²é??ªæ?ç¥¨æ•¸,?¼å‡ºç¥¨æ•¸,?¨æ–¼ç¥¨æ•¸,?•ç¥¨æ¬Šäºº???•ç¥¨??%),?‰æ??Œæ?ç¥¨æ•¸å°æ?ç¥¨æ?äººæ•¸?¾å?æ¯?%),?‰æ?ä¸å??ç¥¨?¸å??•ç¥¨æ¬Šäºº?¸ç™¾?†æ?(%),?‰æ??Œæ??‡ä??Œæ?ç¥¨æ•¸å°æ?ç¥¨æ?äººæ•¸?¾å?æ¯”å·®??,,,,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"?—å±¯??""8-13",?—å±¯?‹å?(2),?ºä¸­å¸‚å?å±¯å?é»Žæ?è·¯ä?æ®?68??553,216,769,66,835,0,835,511,1346,62.04%,41.08%,16.05%,25.03,,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"?—å±¯??""14-16",747,?—å±¯?‹å?(3),?ºä¸­å¸‚å?å±¯å?é»Žæ?è·¯ä?æ®?68??590,193,783,72,855,2,857,571,1428,59.87%,41.32%,13.52%,27.8,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"?—å±¯??""21-25",?—å±¯?‹å?(4),?ºä¸­å¸‚å?å±¯å?é»Žæ?è·¯ä?æ®?68??625,163,788,40,828,0,828,614,1442,57.42%,43.34%,11.30%,32.04,,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"?—å±¯??""29",35,37,"38""",749,å¤§å¢©?‹ä¸­(1),?ºä¸­å¸‚å?å±¯å?? ä¸­è·¯ä?æ®?8??700,175,875,32,907,0,907,501,1408,64.42%,,,49.72%,12.43%,37.29,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"?—å±¯??""31-33",750,å¤§å¢©?‹ä¸­(2),?ºä¸­å¸‚å?å±¯å?? ä¸­è·¯ä?æ®?8??682,148,830,29,859,0,859,545,1404,61.18%,48.58%,10.54%,38.04,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"è±æ???""2","14""",751,?¬å??‹ä¸­(1),?ºä¸­å¸‚å?å±¯å?æ°¸æ˜¥?±è·¯885??631,170,801,61,862,0,862,492,1354,63.66%,46.60%,12.56%,,,34.04,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"è±æ???""1",752,?¬å??‹ä¸­(2),?ºä¸­å¸‚å?å±¯å?æ°¸æ˜¥?±è·¯885??581,181,762,72,834,0,834,498,1332,62.61%,43.62%,13.59%,30.03,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"è±æ???""6",23,"28""",753,?¬å??‹ä¸­(3),?ºä¸­å¸‚å?å±¯å?æ°¸æ˜¥?±è·¯885??674,201,875,49,924,0,924,539,1463,63.16%,46.07%,,,13.74%,32.33,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"è±æ???""9",?¬å??‹ä¸­(4),?ºä¸­å¸‚å?å±¯å?æ°¸æ˜¥?±è·¯885??695,82,777,65,842,0,842,571,1413,59.59%,49.19%,5.80%,43.39,,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"è±æ???""4","24""",755,?¬å??‹ä¸­(5),?ºä¸­å¸‚å?å±¯å?æ°¸æ˜¥?±è·¯885??549,180,729,40,769,0,769,449,1218,63.14%,45.07%,14.78%,,,30.29,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"è±æ???""7","11""",756,?¬å??‹ä¸­(6),?ºä¸­å¸‚å?å±¯å?æ°¸æ˜¥?±è·¯885??558,161,719,36,755,32,787,521,1308,57.72%,42.66%,12.31%,,,30.35,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"è±æ???""18-22",757,è±æ??Œè€äººä¼‘é?æ´»å?ä¸­å?,?ºä¸­å¸‚å?å±¯å??‡å??—ä?è·¯ä?æ®?31??697,215,912,50,962,0,962,565,1527,63%,45.65%,14.08%,31.57,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,è±æ???30-33,?ºä¸­å¸‚å?å±¯å??‡å??—ä?è·¯ä?æ®?39??588,176,764,42,806,0,806,488,1294,62.29%,45.44%,13.60%,31.84,,,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"æ¥“æ¨¹??""1-3",27,"33""",759,æ¥“æ¨¹?Œç?å¾·å?è¾¦å…¬???ºä¸­å¸‚å?å±¯å?æ¥“å?è·?48ä¹???593,168,761,54,815,0,815,701,1516,53.76%,39.12%,11.08%,,,28.04,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"æ¥“æ¨¹??""4-9","32""",760,æ¥“è?å®®è€äººä¼‘é?ä¸­å?,?ºä¸­å¸‚å?å±¯å?æ¥“æ¨¹å·?5??650,188,838,98,936,6,942,587,1529,61.22%,42.51%,12.30%,,,30.21,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"æ¥“æ¨¹??""12",24,"25""",761,æ¥“æ¨¹?Œé?å°‘å¹´æ´»å?ä¸­å?,?ºä¸­å¸‚å?å±¯å?æ¥“æ¨¹è¥¿è?200??611,183,794,64,858,0,858,539,1397,61.42%,43.74%,,,13.10%,30.64,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"æ¥“æ¨¹??""15-17",762,æ¥“æ¨¹?Œç?å¾·å?ä¼‘é?å®??ºä¸­å¸‚å?å±¯å?æ¥“å?è·?46ä¹???581,160,741,47,788,1,789,617,1406,56.05%,41.32%,11.38%,29.94,,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"ä¸­å???""1-3",14,20,23,"24""",763,ä¸­å?ç¤¾å?æ´»å?ä¸­å?,?ºä¸­å¸‚å?å±¯å?ä¸­å?å·?7ä¹???596,166,762,54,816,1,817,680,1497,,,54.51%,39.81%,11.09%,28.72,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"ä¸­å???""4",9,12,21,"22""",764,?ºä¸­é»Žæ?å¤§æ?ç®¡ç?å®??ºä¸­å¸‚å?å±¯å?é»Žæ?è·¯ä?æ®?57å·?3??572,164,736,81,817,0,817,607,1424,57.37%,,,40.17%,11.52%,28.65,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"ä¸­å???""8","15-19""",765,å®ˆæ??¸åŠ©?Šéƒ¨,?ºä¸­å¸‚å?å±¯å??—å?è·?5å·?0?Ÿå???505,173,678,47,725,0,725,763,1488,48.72%,33.94%,11.63%,,,22.31,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"?®å¹³??""1","11""",766,?®å¹³?Œè?å¸¥å®®,?ºä¸­å¸‚å?å±¯å?æ°´ç?å·?4??275,86,361,47,408,0,408,200,608,67.11%,45.23%,14.14%,,,31.09,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"?®å¹³??""2-6",767,?®å¹³?Œç?å¾·ç?,?ºä¸­å¸‚å?å±¯å??®å?å·?2ä¹???330,127,457,71,528,0,528,285,813,64.94%,40.59%,15.62%,24.97,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"?¥ç¤¾??""1-5",768,?¥ç¤¾ç¤¾å?æ´»å?ä¸­å?,?ºä¸­å¸‚å?å±¯å?æ°¸æ˜¥?—è·¯38ä¹???507,155,662,69,731,0,731,459,1190,61.43%,42.61%,13.03%,29.58,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"?¥ç¤¾??""6",16,17,22,"27""",769,?¥ç¤¾?Œæ´»?•ä¸­å¿?æ¨??ºä¸­å¸‚å?å±¯å?å¿ å?è·?3ä¹?2??æ¨?494,128,622,43,665,0,665,509,1174,56.64%,,,42.08%,10.90%,31.18,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"?¥ç¤¾??""20","32-34""",770,?¥ç¤¾?Œæ´»?•ä¸­å¿?æ¨??ºä¸­å¸‚å?å±¯å?å¿ å?è·?3ä¹?2??æ¨?536,152,688,24,712,30,742,482,1224,58.17%,43.79%,12.42%,31.37,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"?¥ç¤¾??""7-11","26""",771,?Œå?ç¤¾å?æ´»å?ä¸­å?,?ºä¸­å¸‚å?å±¯å??Œå??—å··6??528,129,657,45,702,0,702,764,1466,47.89%,36.02%,8.80%,,,27.22,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"?¥ç¤¾??""14",25,"31""",772,æ¨¹æœ¨?€è¡Œç®¡?†ä¸­å¿??ºä¸­å¸‚å?å±¯å?æº«æ?è·?88??440,105,545,29,574,0,574,759,1333,43.06%,33.01%,7.88%,,,25.13,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,?¥å???1-6,?ºä¸­å¸‚å?å±¯å??¥å?è·?09??352,100,452,67,519,0,519,295,814,63.76%,43.24%,12.29%,30.95,,,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"?‡å±±??""4","36-38""",774,?‡å±±?‹å?(1),?ºä¸­å¸‚å?å±¯å?å¿ å?è·?7??544,178,722,62,784,0,784,652,1436,54.60%,37.88%,12.40%,,,25.48,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,?‡å±±??30-35,?ºä¸­å¸‚å?å±¯å?å¿ å?è·?7??649,190,839,61,900,1,901,614,1515,59.41%,42.84%,12.54%,30.3,,,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"?‡å±±??""1","39""",776,?‡å±±?‹å?(3),?ºä¸­å¸‚å?å±¯å?å¿ å?è·?7??600,143,743,52,795,9,804,741,1545,51.46%,38.83%,9.26%,,,29.57,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"?‡å±±??""2",6,8,"19""",777,?‡å±±?°ä?è³‡è??–æ›¸é¤?æ¨??ºä¸­å¸‚å?å±¯å?å¿ å?è·?4ä¹???603,158,761,53,814,0,814,569,1383,58.86%,43.60%,,,11.42%,32.18,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"?‡å±±??""9-14",?‡å±±?°ä?è³‡è??–æ›¸é¤¨åœ°ä¸‹å®¤,?ºä¸­å¸‚å?å±¯å?å¿ å?è·?4ä¹???643,166,809,38,847,0,847,586,1433,59.11%,44.87%,11.58%,33.29,,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"?‡å±±??""20",779,äº”æ??±å??¬å?å¤§å?,?ºä¸­å¸‚å?å±¯å?ä¿å??­è?143??436,141,577,48,625,0,625,509,1134,55.11%,38.45%,12.43%,26.02,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"?‡å±±??""15-18",ä¿å?å®??ºä¸­å¸‚å?å±¯å?å¿ å?è·?3ä¹???593,122,715,47,762,0,762,454,1216,62.66%,48.77%,10.03%,38.74,,,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"å¯¶å±±??""1-3","27""",781,å¯¶å±±ç¤¾å?æ´»å?ä¸­å?,?ºä¸­å¸‚å?å±¯å?å¿ å?è·?19??495,158,653,82,735,0,735,536,1271,57.83%,38.95%,12.43%,,,26.52,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"å¯¶å±±??""17",å¯¶å±±?Œç??ƒå ´ç®¡ç?ä¸­å?,?ºä¸­å¸‚å?å±¯å?å¿ å?è·?2ä¹?0??486,141,627,38,665,0,665,538,1203,55.28%,40.40%,11.72%,28.68,,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,å¯¶å±±??9-15,?ºä¸­å¸‚å?å±¯å?å¿ å?è·?7??543,161,704,38,742,3,745,523,1268,58.52%,42.82%,12.70%,30.12,,,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"å¯¶å±±??""4-8",784,?‡å±±?‹å?(5),?ºä¸­å¸‚å?å±¯å?å¿ å?è·?7??577,192,769,62,831,0,831,559,1390,59.78%,41.51%,13.81%,27.7,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"?°ç???""1-3",?°ç??Œé??†æ??€,?ºä¸­å¸‚å?å±¯å??°å¾·è¡?08??587,173,760,50,810,0,810,587,1397,57.98%,42.02%,12.38%,29.64,,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"æ°¸å???""1",9,"13""",786,æ°¸å??Œç¤¾?€æ´»å?ä¸­å??ƒè­°å®??ºä¸­å¸‚å?å±¯å??—ç?è¡?0??633,214,847,79,926,0,926,681,1607,57.62%,39.39%,13.32%,,,26.07,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"æ°¸å???""3",10,"14-16""",787,?—å±¯å¤©ä¸»???ºä¸­å¸‚å?å±¯å?æ°¸æ˜¥è·???702,194,896,49,945,0,945,637,1582,59.73%,44.37%,12.26%,,,32.11,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"æ°¸å???""4","17-20""",788,?‡å?å¤§é?å¤§å?æ´»å?ä¸­å?,?ºä¸­å¸‚å?å±¯å?é»Žæ?è·¯ä?æ®?1å·?2å¼???720,191,911,55,966,0,966,645,1611,59.96%,44.69%,11.86%,,,32.83,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,ä¸‰å???2-7,?ºä¸­å¸‚å?å±¯å??‘ä?è·¯ä?æ®?01??588,201,789,52,841,0,841,481,1322,63.62%,44.48%,15.20%,29.28,,,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"ä¸‰å???""18",å¤§å¢©?‹å?(2),?ºä¸­å¸‚å?å±¯å??‘ä?è·¯ä?æ®?01??622,177,799,54,853,4,857,464,1321,64.57%,47.09%,13.40%,33.69,,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"ä¸‰å???""8-11",791,å¤§å¢©?‹å?(3),?ºä¸­å¸‚å?å±¯å??‘ä?è·¯ä?æ®?01??612,148,760,51,811,0,811,549,1360,59.63%,45.00%,10.88%,34.12,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"ä¸‰å???""1","19""",792,å¤§å¢©?‹å?(4),?ºä¸­å¸‚å?å±¯å??‘ä?è·¯ä?æ®?01??630,160,790,24,814,1,815,546,1361,59.81%,46.29%,11.76%,,,34.53,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"ä¸‰å???""12","20""",793,å¤§å¢©?‹å?(5),?ºä¸­å¸‚å?å±¯å??‘ä?è·¯ä?æ®?01??566,184,750,36,786,0,786,471,1257,62.53%,45.03%,14.64%,,,30.39,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"ä¸‰ç¾©??""1",21,"22""",794,é»Žæ??‹å?(1),?ºä¸­å¸‚å?å±¯å?é»Žæ?è·¯ä?æ®?55??606,145,751,31,782,0,782,425,1207,64.79%,50.21%,,,12.01%,38.2,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"ä¸‰ç¾©??""9","20""",795,é»Žæ??‹å?(2),?ºä¸­å¸‚å?å±¯å?é»Žæ?è·¯ä?æ®?55??623,159,782,32,814,0,814,468,1282,63.49%,48.60%,12.40%,,,36.2,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,ä¸‰ç¾©??2-6,169,780,38,818,0,818,430,1248,65.54%,48.96%,13.54%,35.42,,,,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"ä¸‰ç¾©??""10","16""",797,? æ??‹å?(3),?ºä¸­å¸‚å?å±¯å??¬ç?è·¯ä?æ®?00??623,182,805,47,852,7,859,445,1304,65.34%,47.78%,13.96%,,,33.82,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"ä¸‰ç¾©??""14",? æ??‹å?(4),?ºä¸­å¸‚å?å±¯å??¬ç?è·¯ä?æ®?00??552,147,699,44,743,1,744,470,1214,61.20%,45.47%,12.11%,33.36,,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"ä¸‰å???""6-8",ä¸‰æ—ºç¦å¾·å»??ºä¸­å¸‚å?å±¯å?é»Žæ??±è?457??505,140,645,56,701,0,701,401,1102,63.61%,45.83%,12.70%,33.13,,,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,ä¸‰å???16-21,?ºä¸­å¸‚å?å±¯å??¬ç?è·¯ä?æ®?15??816,189,1005,48,1053,0,1053,577,1630,64.60%,50.06%,11.60%,38.46,,,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"ä¸‰å???""1-4",? æ??‹å?(5),?ºä¸­å¸‚å?å±¯å??¬ç?è·¯ä?æ®?00??641,150,791,41,832,0,832,501,1333,62.42%,48.09%,11.25%,36.84,,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"ä¸‰å???""10","30""",802,? æ??‹å?(6),?ºä¸­å¸‚å?å±¯å??¬ç?è·¯ä?æ®?00??608,163,771,43,814,0,814,478,1292,63%,47.06%,12.62%,,,34.44,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"ä¸‰å???""12",23,"32""",803,? æ??‹å?(7),?ºä¸­å¸‚å?å±¯å??¬ç?è·¯ä?æ®?00??589,156,745,43,788,0,788,484,1272,61.95%,46.31%,,,12.26%,34.05,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"ä¸‰å???""24-29",? æ??‹å?(8),?ºä¸­å¸‚å?å±¯å??¬ç?è·¯ä?æ®?00??627,136,763,46,809,0,809,536,1345,60.15%,46.62%,10.11%,36.51,,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,é»Žæ???1-7,?ºä¸­å¸‚å?å±¯å?å¹²å?è¡?8??500,142,642,46,688,0,688,293,981,70.13%,50.97%,14.48%,36.49,,,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,é»Žæ???8-15,?ºä¸­å¸‚å?å±¯å?å¹²å?è¡?8??506,136,642,59,701,0,701,396,1097,63.90%,46.13%,12.40%,33.73,,,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,é»Žæ???16-23,?ºä¸­å¸‚å?å±¯å?å¹²å?è¡?8??480,124,604,42,646,0,646,345,991,65.19%,48.44%,12.51%,35.93,,,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,é»Žæ???24-31,?ºä¸­å¸‚å?å±¯å?å¹²å?è¡?8??538,142,680,30,710,0,710,460,1170,60.68%,45.98%,12.14%,33.84,,,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"æºå???""4",809,å¤ªå?å®??ºä¸­å¸‚å?å±¯å?å¤§è‹±è¡?89??552,147,699,48,747,1,748,423,1171,63.79%,47.14%,12.55%,34.59,,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,æºå???9-13,179,736,74,810,0,810,539,1349,60.04%,41.29%,13.27%,28.02,,,,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"æºå???""14-16",æ°´å?å®??ºä¸­å¸‚å?å±¯å??‡å?è·¯ä?æ®?15??644,191,835,39,874,0,874,494,1368,63.89%,47.08%,13.96%,33.12,,,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"æºå???""1-3","18""",812,?³å¹¸???ºä¸­å¸‚å?å±¯å?å¤§å¢©?ä?è¡?09??606,162,768,48,816,0,816,447,1263,64.61%,47.98%,12.83%,35.15,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"å¤§æ¥­??""1",813,å¤§æ¥­?‹ä¸­(1),?ºä¸­å¸‚å?å±¯å?å¤§æ¥­è·?00??699,219,918,44,962,0,962,585,1547,62.18%,45.18%,14.16%,31.02,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"å¤§æ¥­??""2-4","22""",814,å¤§æ¥­?‹ä¸­(2),?ºä¸­å¸‚å?å±¯å?å¤§æ¥­è·?00??716,211,927,63,990,0,990,659,1649,60.04%,43.42%,12.80%,,,30.62,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"å¤§æ¥­??""10-13",å¤§æ¥­?‹ä¸­(3),?ºä¸­å¸‚å?å±¯å?å¤§æ¥­è·?00??660,200,860,52,912,0,912,717,1629,55.99%,40.52%,12.28%,28.24,,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"å¤§æ¥­??""15-19",816,å¤§æ¥­?‹ä¸­(4),?ºä¸­å¸‚å?å±¯å?å¤§æ¥­è·?00??606,195,801,59,860,0,860,720,1580,54.43%,38.35%,12.34%,26.01,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"? ä¸­??""12",23,"24""",817,? ç¾©?¬å?ç®¡ç?å®?æ¨??ºä¸­å¸‚å?å±¯å?å¤§å¢©?ä?è¡?61??709,196,905,41,946,0,946,498,1444,65.51%,49.10%,13.57%,,,35.53,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"? ä¸­??""13-15","22""",818,å¤§æ–°?‹å?(1),?ºä¸­å¸‚å?å±¯å??‡å?è·¯ä?æ®?80??644,146,790,27,817,0,817,596,1413,57.82%,45.58%,10.33%,,,35.25,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"? ä¸­??""2","25""",819,å¤§æ–°?‹å?(2),?ºä¸­å¸‚å?å±¯å??‡å?è·¯ä?æ®?80??613,148,761,45,806,0,806,571,1377,58.53%,44.52%,10.75%,,,33.77,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"? ä¸­??""4",820,å¤§æ–°?‹å?(3),?ºä¸­å¸‚å?å±¯å??‡å?è·¯ä?æ®?80??654,225,879,54,933,0,933,594,1527,61.10%,42.83%,14.73%,28.1,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"? ä¸­??""1","20""",821,å¤§æ–°?‹å?(4),?ºä¸­å¸‚å?å±¯å??‡å?è·¯ä?æ®?80??606,180,786,47,833,0,833,502,1335,62.40%,45.39%,13.48%,,,31.91,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"?°å???""1-3",?°æ–°?¬å?ç®¡ç?å®?æ¨??ºä¸­å¸‚å?å±¯å?å¤§å¢©?­è?319å·?1??æ¨?776,215,991,46,1037,0,1037,507,1544,67.16%,50.26%,13.92%,36.34,,,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"?°å???""4",?°æ–°?¬å?ç®¡ç?å®?æ¨??ºä¸­å¸‚å?å±¯å?å¤§å¢©?­è?319å·?1??æ¨?687,226,913,55,968,0,968,514,1482,65.32%,46.36%,15.25%,31.11,,,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"?°å???""13-19",?°å??Œæ´»?•ä¸­å¿?æ¨??ºä¸­å¸‚å?å±¯å??—å±¯è·¯ä?æ®?30??æ¨?532,217,749,78,827,0,827,661,1488,55.58%,35.75%,14.58%,21.17,,,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"?°å???""20-22",?°å??Œå??›ç›¸?©é????ºä¸­å¸‚å?å±¯å??—å±¯è·¯ä?æ®?95??597,167,764,46,810,0,810,728,1538,52.67%,38.82%,10.86%,27.96,,,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"?‘å???""1-5",æ°¸æ˜¥?‹å?(1),?ºä¸­å¸‚å?å±¯å?æ°¸æ˜¥?±è·¯288??761,210,971,86,1057,0,1057,617,1674,63.14%,45.46%,12.54%,32.92,,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"?‘å???""6","18""",827,æ°¸æ˜¥?‹å?(2),?ºä¸­å¸‚å?å±¯å?æ°¸æ˜¥?±è·¯288??609,197,806,58,864,0,864,1132,1996,43.29%,30.51%,9.87%,,,20.64,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"?‘å???""7",828,æ°¸æ˜¥?‹å?(3),?ºä¸­å¸‚å?å±¯å?æ°¸æ˜¥?±è·¯288??683,172,855,67,922,0,922,592,1514,60.90%,45.11%,11.36%,33.75,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,?‡å???1-6,?ºä¸­å¸‚å?å±¯å??‡å?è·¯ä?æ®?80??576,142,718,65,783,0,783,434,1217,64.34%,47.33%,11.67%,35.66,,,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"?‡å???""9-14",å¤§æ–°?‹å?(6),?ºä¸­å¸‚å?å±¯å??‡å?è·¯ä?æ®?80??569,172,741,61,802,0,802,545,1347,59.54%,42.24%,12.77%,29.47,,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"?‡å???""7","20""",831,?‡å?ç¦å¾·å»??ºä¸­å¸‚å?å±¯å??‘å?è·?29??489,137,626,46,672,0,672,437,1109,60.60%,44.09%,12.35%,31.74,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,?Œå???1-8,?ºä¸­å¸‚å?å±¯å??‡å?è·¯ä?æ®?80??675,172,847,50,897,0,897,649,1546,58.02%,43.66%,11.13%,32.53,,,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,?Œå???9-14,?ºä¸­å¸‚å?å±¯å??‡å?è·¯ä?æ®?80??657,194,851,54,905,0,905,503,1408,64.28%,46.66%,13.78%,32.88,,,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,?Œå???16-20,?ºä¸­å¸‚å?å±¯å?æ°¸æ˜¥?±è·¯288??424,138,562,20,582,0,582,475,1057,55.06%,40.11%,13.06%,27.05,,,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"?Œå???""15",æ°¸æ˜¥?‹å?(5),?ºä¸­å¸‚å?å±¯å?æ°¸æ˜¥?±è·¯288??473,158,631,62,693,0,693,440,1133,61.17%,41.75%,13.95%,27.8,,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"å¤§å???""1-4",å¤§å??Œæ´»?•ä¸­å¿?æ¨?02å®??ºä¸­å¸‚å?å±¯å?å¤§å¢©?­è?161??æ¨?565,160,725,33,758,0,758,520,1278,59.31%,44.21%,12.52%,31.69,,,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,"å¤§å???""8",837,å¤§å??Œæ´»?•ä¸­å¿ƒç¦®???ºä¸­å¸‚å?å±¯å?å¤§å¢©?­è?161??æ¨?543,157,700,54,754,0,754,390,1144,65.91%,47.47%,13.72%,33.75,,,,,,,,,,,,,
ç¬?æ¡??ºä¸­å¸??—å±¯?€,å¤§å???15-18,159,654,42,696,0,696,444,1140,61.05%,43.42%,13.95%,29.47,,,,,,,,,,,,,,,
